계급_code,계급_value
1,대통령
5,국무위원
6,장관(급)
7,차관(급)
8,특1급
9,특2급
10,차관보(급)
11,1급
12,2급
13,3급
14,4급
15,5급
16,6급
17,7급
18,8급
19,9급
20,기능1급
21,기능2급
22,기능3급
23,기능4급
24,기능5급
25,기능6급
26,기능7급
27,기능8급
28,기능9급
29,기능10급
30,연구관
31,연구사
32,지도관
33,지도사
34,총장
35,부총장
36,학장
37,교수
38,부교수
39,조교수
40,전임강사
41,조교
56,장학관
57,장학사
58,교육연구관
59,교육연구사
60,치안총감
61,치안정감
62,치안감
63,경무관
64,총경
65,경정
66,경감
67,경위
68,경사
69,경장
70,순경
71,소방총감
72,소방정감
73,소방감
74,소방령
75,소방경
76,소방위
77,소방장
78,소방교
79,소방사
83,검찰총장
84,고등검사장
85,검사장
86,검사
87,원수
88,대장
89,중장
90,소장
91,준장
92,대령
93,중령
94,소령
95,대위
96,중위
97,소위
98,준위
99,상사
100,중사
101,하사
102,병장
103,상병
104,일병
105,이병
106,가
107,나
108,다
109,라
110,마
111,1종
112,2종
113,경노무
114,기타
115,1급상당
116,2급상당
117,3급상당
118,4급상당
119,5급상당
120,6급상당
121,7급상당
122,8급상당
123,9급상당
124,교장
125,교감
126,교사
127,원장
128,원감
129,원사
130,생도
131,수경
132,상경
133,이경
134,일경
135,특경
136,소방정
137,방위병
138,1급.2급
140,3급.4급
141,4급.5급
142,교원
143,소방
144,법관
145,10급상당
146,1.2등급
147,3.4등급
148,5.6등급
149,7등급
150,8등급
151,9등급
152,10등급
153,11등급
154,12등급
155,13등급
156,14등급
166,1등급
167,2등급
168,3등급
169,4등급
170,5등급
171,6등급
172,본부장
173,1호
174,2호
175,3호
176,4호
177,5호
178,6호
179,7호
180,8호
181,9호
182,10호
183,소방준감
187,고위공무원
188,자치총경
189,자치경정
190,자치경감
191,자치경위
192,자치경사
193,자치경장
194,자치순경
198,특임공관장(직위)
199,
200,가급
201,나급
202,다급
203,라급
204,마급
205,우정1급
206,우정2급
207,우정3급
208,우정4급
209,우정5급
210,우정6급
211,우정7급
212,우정8급
213,우정9급
214,가군
215,나군
216,다군
220,자치경무관
904,청원경찰
,
