직렬_code,직렬_value
1,교정
3,
4,마약수사
5,출입국관리
6,철도공안
7,행정
8,세무
9,관세
11,교육행정
12,사회복지
15,공보
16,통계
17,감사
18,사서
19,기계
20,운량
21,전자
24,금속
26,화공
27,가스
29,농업
32,수의
33,수산
35,보건
36,산림보호
37,입법조사연구
38,식품위생
39,교통
40,의료기술
41,선박
42,의무
43,약무
44,항공
45,간호
48,토목
49,수도토목
50,건축
52,
54,전산
56,통신기술
58,전자통신기술
60,속기
61,경위
62,농림
63,법원사무
64,법정경위
65,통역
67,기상
68,환경
69,임업
70,원예
71,철도현업
72,정보통신현업
73,통신
74,전화수리
75,교환
76,
77,학예연구
78,전기
79,편사연구
80,화학(사진)
81,공업연구
82,난방
83,농업연구
84,운전
85,임업연구
86,선박기관
87,잠업연구
88,등대
89,축산연구
90,가축위생연구
91,사육
92,농공연구
93,간호조무
94,수산연구
95,위생
96,보건연구
97,조무
98,환경연구
99,타자
100,토목연구
101,건축연구
102,기상연구
103,농촌지도
104,생활지도
105,어촌지도
106,방호
107,방송
108,안내
109,후생사무
110,병기
111,
112,
113,군사정보
114,기술정보
115,수사
116,
118,
119,
120,
121,
123,용접
124,
125,
126,
127,
128,
129,총포
130,
131,탄약
132,
133,
134,전차
135,
136,
137,선체
138,
139,함정기관
140,항해
141,선거
142,잠수
143,기체
144,항공기관
145,항공보기
146,
147,항공지원
149,방사선
154,영양관리
155,물리분석
156,화학분석
157,
158,기상예보
159,인쇄
160,지도
161,
162,발간
163,행정보조
164,병참
165,이미용
166,조리
167,의무기록
168,조경
169,시설
170,목재
171,전신타자
172,통신보조
173,잡무
174,병리
175,치무
176,재활치료
177,
178,
179,
180,외교통상
182,
183,기록관리연구
184,기록연구
185,수의연구
186,해양수산연구
187,시설연구
188,외무영사
189,외교정보기술
190,보호
191,공업
192,해양수산
193,녹지
194,녹지연구
196,직업상담
197,경비관리
198,방송통신
199,사무
200,조사사무
201,기술심리
203,전화상담
204,열관리
205,선박항해
206,등대관리
207,기후환경
208,심리연구
209,보건진료
210,군수
211,영상
212,일반기계
216,유도무기
217,차량
218,의공
220,탄약취급
221,목공
222,수질환경
223,검찰
224,방재안전
225,우정
226,방송무대
227,토목운영
228,건축운영
229,통신운영
230,전화상담운영
231,전기운영
232,기계운영
233,열관리운영
234,화공운영
235,선박항해운영
236,선박기관운영
237,농림운영
238,산림보호운영
239,보건운영
240,사무운영
241,가스운영
242,기후환경운영
243,사육운영
244,시설관리
245,철도경찰
246,행정사무
247,예비전력관리
248,방재안전연구
250,안전연구
514,관리
515,정보기술
,
