직종_code,직종_value,직종세분류_code,직종세분류_value
1,정무직,1,외무
1,정무직,B,군무원(일반)
1,정무직,,
2,일반직,8,1급내지9급
2,일반직,9,연구직
2,일반직,A,지도직
2,일반직,B,군무원(일반)
2,일반직,H,전문계약직
2,일반직,K,전문경력관
2,일반직,L,일반임기제
2,일반직,M,시간제임기제
2,일반직,N,한시임기제
2,일반직,O,시간선택제임기제
2,일반직,P,전문임기제
2,일반직,R,일반임기제
2,일반직,,
3,별정직,1,외무
3,별정직,8,1급내지9급
3,별정직,,
4,특정직,1,외무
4,특정직,2,교육
4,특정직,3,경찰
4,특정직,4,소방
4,특정직,5,법관
4,특정직,6,검사
4,특정직,7,군인
4,특정직,8,1급내지9급
4,특정직,B,군무원(일반)
4,특정직,C,군무원(기능)
4,특정직,D,기타특정직
4,특정직,E,경호
4,특정직,F,군무원(별정)
4,특정직,L,일반임기제
4,특정직,,
5,기능직,8,1급내지9급
5,기능직,,
6,전문직,8,1급내지9급
6,전문직,,
7,고용직,,
8,계약직,G,일반계약직
8,계약직,H,전문계약직
8,계약직,I,시간제일반계약직
8,계약직,J,시간제전문계약직
8,계약직,,
9,,8,1급내지9급
9,,,
,,2,교육
,,,
